timestamp,amount,category,user_type,region,label
2024-01-01 00:00:00,122.40999917578603,A,new,north,1
2024-01-01 01:00:00,99.42651333741833,C,new,north,0
2024-01-01 02:00:00,94.43954833127248,A,new,south,0
2024-01-01 03:00:00,87.12518568823884,C,new,south,0
2024-01-01 04:00:00,102.29673002000305,C,old,south,0
2024-01-01 05:00:00,151.05123630979284,B,old,south,1
2024-01-01 06:00:00,88.94545864367925,B,new,north,0
2024-01-01 07:00:00,113.92928028845604,B,new,south,0
2024-01-01 08:00:00,94.13709352707684,B,old,south,0
2024-01-01 09:00:00,107.98052073993279,B,old,south,0
2024-01-01 10:00:00,123.39387584704039,C,old,north,1
2024-01-01 11:00:00,105.99768253589984,C,old,north,0
2024-01-01 12:00:00,141.79329730032921,A,new,north,1
2024-01-01 13:00:00,150.67956241699133,C,new,north,1
2024-01-01 14:00:00,75.01808543888122,C,new,south,0
2024-01-01 15:00:00,106.34015339297754,B,new,north,0
2024-01-01 16:00:00,121.18284244544844,C,new,south,1
2024-01-01 17:00:00,142.5223405203076,B,old,south,1
2024-01-01 18:00:00,110.91511449693475,A,new,south,0
2024-01-01 19:00:00,119.60129209508379,A,old,south,0
2024-01-01 20:00:00,96.86511549896103,C,new,north,0
2024-01-01 21:00:00,89.34408295475309,A,new,north,0
2024-01-01 22:00:00,148.9076937916587,C,new,north,1
2024-01-01 23:00:00,83.51860252214126,A,new,south,0
2024-01-02 00:00:00,166.57238016843132,B,new,south,1
2024-01-02 01:00:00,134.50302798763482,B,old,south,1
2024-01-02 02:00:00,133.59946151033512,B,old,south,1
2024-01-02 03:00:00,131.5093733498886,B,old,south,1
2024-01-02 04:00:00,114.94628623998072,C,new,north,0
2024-01-02 05:00:00,127.8416905940174,A,new,south,1
2024-01-02 06:00:00,116.2220662443105,C,old,north,0
2024-01-02 07:00:00,131.0614655288096,B,new,south,1
2024-01-02 08:00:00,119.32626946182567,C,new,south,0
2024-01-02 09:00:00,100.99303633796531,A,old,north,0
2024-01-02 10:00:00,102.58854767476487,C,new,north,0
2024-01-02 11:00:00,100.31455249414992,A,old,south,0
2024-01-02 12:00:00,139.4180146386862,C,new,south,1
2024-01-02 13:00:00,107.65106775081804,A,old,south,0
2024-01-02 14:00:00,81.75793677830279,A,new,south,0
2024-01-02 15:00:00,127.9367733169761,B,new,north,1
2024-01-02 16:00:00,150.29035125179163,A,old,south,1
2024-01-02 17:00:00,135.46166378355053,B,new,north,1
2024-01-02 18:00:00,107.93352869556576,B,new,south,0
2024-01-02 19:00:00,88.26376568809822,B,old,north,0
2024-01-02 20:00:00,117.31463793284979,C,new,north,0
2024-01-02 21:00:00,116.8155224380658,C,old,south,0
2024-01-02 22:00:00,100.61600779372468,C,new,north,0
2024-01-02 23:00:00,131.02074604485074,C,new,south,1
2024-01-03 00:00:00,156.93253001660946,A,new,north,1
2024-01-03 01:00:00,124.44565434916568,A,new,south,1
2024-01-03 02:00:00,123.2095241399769,C,old,north,1
2024-01-03 03:00:00,101.25543902332355,A,new,south,0
2024-01-03 04:00:00,147.94829406120743,A,old,south,1
2024-01-03 05:00:00,118.49711666379966,B,new,north,0
2024-01-03 06:00:00,108.42073489611658,B,new,north,0
2024-01-03 07:00:00,121.27376787303231,B,new,north,1
2024-01-03 08:00:00,129.4392266649322,B,new,north,1
2024-01-03 09:00:00,122.78430817289806,A,old,south,1
2024-01-03 10:00:00,144.12306791341183,C,old,north,1
2024-01-03 11:00:00,127.67943105093724,A,old,south,1
2024-01-03 12:00:00,114.3211637823493,A,old,north,0
2024-01-03 13:00:00,128.0238443265378,A,new,south,1
2024-01-03 14:00:00,129.99274202251914,B,old,south,1
2024-01-03 15:00:00,94.07248161472316,B,old,south,0
2024-01-03 16:00:00,142.9883945652743,B,new,south,1
2024-01-03 17:00:00,113.98191961277281,C,new,north,0
2024-01-03 18:00:00,114.4935355298914,A,new,north,0
2024-01-03 19:00:00,135.02751974151892,C,new,south,1
2024-01-03 20:00:00,134.94330448519162,B,old,north,1
2024-01-03 21:00:00,105.98336642267829,C,old,north,0
2024-01-03 22:00:00,136.0580323629137,A,new,south,1
2024-01-03 23:00:00,108.79103697020952,A,new,north,0
2024-01-04 00:00:00,156.39146093397312,B,new,north,1
2024-01-04 01:00:00,103.43612037468472,B,old,north,0
2024-01-04 02:00:00,124.78954923411793,C,old,south,1
2024-01-04 03:00:00,104.35964726184785,B,new,north,0
2024-01-04 04:00:00,164.4539125827015,B,new,south,1
2024-01-04 05:00:00,95.24358111825768,A,old,north,0
2024-01-04 06:00:00,130.48725494505823,B,new,north,1
2024-01-04 07:00:00,105.30179171044401,B,new,north,0
2024-01-04 08:00:00,112.91784717104026,A,old,south,0
2024-01-04 09:00:00,129.07075667490352,A,new,south,1
2024-01-04 10:00:00,144.49168875252286,C,old,north,1
2024-01-04 11:00:00,152.4679312459809,B,new,south,1
2024-01-04 12:00:00,89.26104079947359,A,new,north,0
2024-01-04 13:00:00,125.35502448728924,C,old,south,1
2024-01-04 14:00:00,149.18987206767042,C,old,south,1
2024-01-04 15:00:00,86.29378122476119,B,new,north,0
2024-01-04 16:00:00,126.28766988109695,B,old,north,1
2024-01-04 17:00:00,119.95832405159632,C,new,north,0
2024-01-04 18:00:00,128.29083628759577,A,new,north,1
2024-01-04 19:00:00,104.55391949347049,C,old,south,0
2024-01-04 20:00:00,91.2876234357312,B,new,south,0
2024-01-04 21:00:00,81.7378714964195,A,new,south,0
2024-01-04 22:00:00,139.52767906924205,A,old,north,1
2024-01-04 23:00:00,142.08098272966708,C,old,north,1
2024-01-05 00:00:00,126.05370697991972,B,new,south,1
2024-01-05 01:00:00,109.31703300623806,C,old,north,0
2024-01-05 02:00:00,87.53908213068509,C,old,south,0
2024-01-05 03:00:00,131.26690925010047,C,old,south,1
2024-01-05 04:00:00,97.98441434326631,A,old,south,0
2024-01-05 05:00:00,105.77402750478925,A,new,south,0
2024-01-05 06:00:00,108.26871840874563,B,new,south,0
2024-01-05 07:00:00,116.04929548606064,B,new,north,0
2024-01-05 08:00:00,104.81919105582703,C,old,north,0
2024-01-05 09:00:00,120.66917541984606,C,old,north,1
2024-01-05 10:00:00,107.56363398987217,C,old,south,0
2024-01-05 11:00:00,134.02746129678445,B,old,south,1
2024-01-05 12:00:00,140.62125827976107,A,old,south,1
2024-01-05 13:00:00,122.17085352056877,A,old,south,1
2024-01-05 14:00:00,129.25252670762205,C,old,north,1
2024-01-05 15:00:00,162.3571189925178,C,new,north,1
2024-01-05 16:00:00,96.54793486277367,C,new,south,0
2024-01-05 17:00:00,95.33063797439789,C,old,south,0
2024-01-05 18:00:00,133.8999580155375,B,old,south,1
2024-01-05 19:00:00,158.9308567502953,A,old,north,1
2024-01-05 20:00:00,114.79002876122554,C,new,north,0
2024-01-05 21:00:00,154.53667684437522,B,new,north,1
2024-01-05 22:00:00,121.9286743758698,C,old,south,1
2024-01-05 23:00:00,106.38225435921836,C,old,south,0
2024-01-06 00:00:00,100.18615222724594,A,new,north,0
2024-01-06 01:00:00,132.58827169773576,C,new,south,1
2024-01-06 02:00:00,101.70081864434607,A,new,north,0
2024-01-06 03:00:00,121.62553685534056,A,new,south,1
2024-01-06 04:00:00,151.66930050768187,A,old,north,1
2024-01-06 05:00:00,113.8643921425726,B,new,south,0
2024-01-06 06:00:00,146.28018949287798,B,new,north,1
2024-01-06 07:00:00,95.70913020547187,A,old,north,0
2024-01-06 08:00:00,109.321817973664,C,new,north,0
2024-01-06 09:00:00,91.85711947570167,A,new,north,0
2024-01-06 10:00:00,121.45993511946715,C,new,north,1
2024-01-06 11:00:00,135.60156359433165,A,old,north,1
2024-01-06 12:00:00,121.50374175212372,C,new,south,1
2024-01-06 13:00:00,144.54100119940304,B,old,south,1
2024-01-06 14:00:00,105.0164151874174,C,old,south,0
2024-01-06 15:00:00,124.50685507378134,A,new,north,1
2024-01-06 16:00:00,109.45061352772288,B,new,north,0
2024-01-06 17:00:00,127.2335317084731,C,new,south,1
2024-01-06 18:00:00,130.0747209242485,C,new,north,1
2024-01-06 19:00:00,131.64791919968127,C,old,north,1
2024-01-06 20:00:00,98.58811323528796,C,new,north,0
2024-01-06 21:00:00,102.20507796426863,C,new,north,0
2024-01-06 22:00:00,105.91424583617622,B,new,north,0
2024-01-06 23:00:00,115.22238504266805,B,old,south,0
2024-01-07 00:00:00,121.7437280841286,B,new,south,1
2024-01-07 01:00:00,134.16178243713352,B,new,south,1
2024-01-07 02:00:00,103.03802601321536,A,old,south,0
2024-01-07 03:00:00,87.97961404596495,B,old,south,0
2024-01-07 04:00:00,163.1148632641358,C,new,north,1
2024-01-07 05:00:00,97.37093958695141,C,new,north,0
2024-01-07 06:00:00,136.72647445991103,B,new,north,1
2024-01-07 07:00:00,120.62533754497349,C,new,north,1
2024-01-07 08:00:00,125.02611281612761,B,new,south,1
2024-01-07 09:00:00,119.96898988328195,C,old,south,0
2024-01-07 10:00:00,112.30316236105749,A,old,south,0
2024-01-07 11:00:00,129.27944565846917,A,new,north,1
2024-01-07 12:00:00,111.22825587485409,B,new,south,0
2024-01-07 13:00:00,143.3260549447358,B,old,north,1
2024-01-07 14:00:00,131.36882012512308,B,new,south,1
2024-01-07 15:00:00,131.99188226562987,C,new,south,1
2024-01-07 16:00:00,109.85753879886819,B,new,north,0
2024-01-07 17:00:00,115.27290525822008,A,new,north,0
2024-01-07 18:00:00,96.2417438271587,C,new,south,0
2024-01-07 19:00:00,112.93967886548876,B,old,south,0
2024-01-07 20:00:00,99.26848167287406,C,new,north,0
2024-01-07 21:00:00,146.2613703117743,C,new,south,1
2024-01-07 22:00:00,121.01071631188012,B,new,south,1
2024-01-07 23:00:00,123.40994470080861,C,old,north,1
2024-01-08 00:00:00,115.49706945299957,A,old,south,0
2024-01-08 01:00:00,123.95157844102816,A,old,north,1
2024-01-08 02:00:00,169.29755271715368,C,old,south,1
2024-01-08 03:00:00,113.99719431215017,B,new,north,0
2024-01-08 04:00:00,106.99173930580012,C,old,south,0
2024-01-08 05:00:00,130.59386265810886,A,new,north,1
2024-01-08 06:00:00,69.48562732795024,C,new,south,0
2024-01-08 07:00:00,121.27913573821866,C,old,north,1
2024-01-08 08:00:00,112.56574193414198,A,old,south,0
2024-01-08 09:00:00,100.15373467927812,C,old,south,0
2024-01-08 10:00:00,130.15515340623,C,old,south,1
2024-01-08 11:00:00,121.07976836891586,B,old,south,1
2024-01-08 12:00:00,83.95182185011566,B,new,south,0
2024-01-08 13:00:00,107.06940957615124,A,old,south,0
2024-01-08 14:00:00,62.23457589614551,A,old,south,0
2024-01-08 15:00:00,125.86538628267006,A,old,south,1
2024-01-08 16:00:00,125.66598836880314,B,new,south,1
2024-01-08 17:00:00,104.13436212332653,A,old,north,0
2024-01-08 18:00:00,130.80225423366252,A,new,north,1
2024-01-08 19:00:00,94.35002757756955,A,old,south,0
2024-01-08 20:00:00,100.66965948130014,B,old,north,0
2024-01-08 21:00:00,128.34380928765128,C,new,south,1
2024-01-08 22:00:00,106.22666490074114,A,old,south,0
2024-01-08 23:00:00,118.74686087595111,C,new,north,0
2024-01-09 00:00:00,108.72701945147314,A,new,south,0
2024-01-09 01:00:00,111.78137687401632,C,new,south,0
2024-01-09 02:00:00,112.65551568090014,B,old,north,0
2024-01-09 03:00:00,105.86486485563645,B,old,north,0
2024-01-09 04:00:00,126.04899428720248,A,old,south,1
2024-01-09 05:00:00,107.44143026492101,C,new,north,0
2024-01-09 06:00:00,120.31373427591204,B,old,north,1
2024-01-09 07:00:00,105.42536637251193,A,new,south,0
2024-01-09 08:00:00,89.31402747231083,A,old,north,0
2024-01-09 09:00:00,138.24870498518334,B,new,north,1
2024-01-09 10:00:00,129.99053970190818,B,new,south,1
2024-01-09 11:00:00,165.77364137595345,A,new,north,1
2024-01-09 12:00:00,99.12054320003483,C,old,north,0
2024-01-09 13:00:00,115.82079025335939,C,new,south,0
2024-01-09 14:00:00,117.42985038288388,C,new,south,0
2024-01-09 15:00:00,139.78738876564262,A,new,south,1
2024-01-09 16:00:00,109.85784211734783,B,new,north,0
2024-01-09 17:00:00,96.57916291648291,A,new,south,0
2024-01-09 18:00:00,144.15618616922004,B,new,south,1
2024-01-09 19:00:00,113.66699941477545,C,old,north,0
2024-01-09 20:00:00,137.57287019452087,C,old,south,1
2024-01-09 21:00:00,135.24396801584422,B,new,south,1
2024-01-09 22:00:00,119.40219052195401,B,old,south,0
2024-01-09 23:00:00,116.51372589930504,A,old,south,0
2024-01-10 00:00:00,112.16870387340391,C,new,north,0
2024-01-10 01:00:00,119.69613742460021,A,new,south,0
2024-01-10 02:00:00,137.26200452341263,A,new,south,1
2024-01-10 03:00:00,104.07119637880841,A,old,north,0
2024-01-10 04:00:00,122.1769126041824,C,new,south,1
2024-01-10 05:00:00,97.62737143602385,A,old,north,0
2024-01-10 06:00:00,100.11787533915614,A,new,north,0
2024-01-10 07:00:00,119.38122005688751,A,old,north,0
